JudgementNo,CropID,JudgementYear,JudgementRegionID,ApplyCompany,IsTransgenosis,VarietySource,VarietyCharacter,OutputExpression,PlantRequirment,JudgementSuggestion
豫审麦2006019,小麦,2006,河南省,中国农业科学院棉花研究所小麦室,否,百农64/周麦11,"弱春性大穗型中早熟品种,生育期219天,与对照豫麦18熟期相当。幼苗直立,苗势一般,抗寒性好;春季返青拔节快,分蘖集中,成穗率较高,亩成穗较多;株型紧凑,长相清秀,旗叶较宽上举,株高77cm,茎秆有弹性,较抗倒伏;穗长方型,穗较大,耐后期高温,落黄好;籽粒半角质,较饱满,粒重较高。成产三要素为:亩成穗数38万左右,穗粒数35粒左右,千粒重40g左右。","2004-2005年度省高肥春水Ⅰ组区试,8点汇总,8点增产,平均亩产470.6kg,比对照豫麦18增产8.99%,极显著,居13个参试品种的第2位;2005-2006年度省高肥春水Ⅰ组区试,10点汇总,9点增产,1点减产,平均亩产514.7kg,比新对照偃展4110增产2.86%,不显著,比对照豫麦34增产7.95%,极显著,居14个参试品种第1位。2005-2006年度省高肥春水Ⅱ组生试,9点汇总,9点增产,平均亩产475.0kg,比对照豫麦18增产8.1%,居6个参试品种并列第1位。","1.播期和播量:豫北10月10日前后,豫中10月15日左右,豫南10月20日为宜;高水肥地每亩6-7kg,中水肥地每亩7-8kg为宜,随播期推迟,应适当增加播量。2.田间管理:施足底肥,氮磷钾科学搭配;浇好越冬水、返青水、灌浆水;看苗、看墒灵活追肥,中后期注意防治病虫害。",
中育6号,小麦,2000,河南省,中棉所小麦室,否,中育3号/鲁麦14,半冬性，熟期比对照鲁麦14号晚1天。分蘖力中等，株高77厘米左右。长芒，白壳，白粒，每穗35粒左右，千粒重40克左右。抗倒伏能力一般。经鉴定，高抗条锈病，慢叶锈病，中感白粉病和纹枯病。品质分析，容重813克/升，蛋白质含量13.7%，湿面筋含量25.4%，沉降值24.1毫升，吸水率55.7%，面团稳定时间2.7分钟,1998、1999两年参加国家黄淮北片冬小麦水地组试验。1998年平均亩产445.7公斤，比对照增产6%，差异显著，居12个参试品种首位；1999年平均亩产470.9公斤，较对照增产4.8%，差异不显著，居12个参试品种第4位。2000年参加生产试验，平均亩产476.2公斤，比对照增产3.6,适宜播期为10月5日～15日，亩基本苗12～15万。播前施足底肥，灌好越冬水、返青水。及时防治病虫害，多雨年份在孕穗期防治白粉病。高水肥地种植时，注意防止倒伏,
豫审麦2011023,小麦,2011,河南省,河南天民种业有限公司,否,R81/百农64//偃展4110rn,弱春性大穗型早熟品种，平均生育期224.6天，比对照品种偃展4110早熟0.5天。幼苗半直立，长势壮，苗期叶色浓绿，冬季抗寒性好，分蘖力强，成穗率一般；春季起身发育快，苗脚干净利索，抽穗早，抗倒春寒能力一般；成株期株型松紧适中，长相清秀，旗叶小而上举，倒二叶窄长，穗下节略短，株行间通风透光性好，株高67.0-80.5cm，茎秆弹性好，抗倒伏能力强；穗长方型，蜡质层厚，穗粗码稀，结实性一般；籽粒半角质，卵圆，饱满度好，黑胚少；根系活力强，耐后期高温，灌浆速度快，成熟落黄好。2009、2010年度产量构成三要素；亩穗数38.6/39.0万，穗粒数36.8/32.6粒，千粒重38.7/45.0g。抗病鉴定：2010年经河南省农科院植保所成株期综合抗病性鉴定和接种试验：中抗叶锈病、叶枯病，中感白粉病、条锈病、纹枯病。品质分析：2009、2010年经农业部农产品质量监督检验测试中心（郑州）测试：蛋白质（干基）14.1/14.37%，容重767/804g/L，湿面筋34.3/32.0%，降落数值264/337s，吸水量52.7/54.4mL/100g，形成时间2.2/2.4min，稳定时间2.0/2.5min，弱化度159/98F.U.，沉淀值60.8/66.0ml，硬度44/43HI，出粉率65.7/66.6%。rn,2008-2009年度参加省春水I组区试，10点汇总，9点增产，1点减产，平均亩产485.4kg，比对照品种偃展4110增产5.16%，达显著水平；2009-2010年度续试，8点汇总，8点增产，平均亩产519.6kg，比对照品种偃展4110增产6.73%，达极显著水平。2010-2011年度参加省春水组生产试验，12点汇总，12点增产，平均亩产534.3kg，比对照品种偃展4110增产5.7%。rn,（1）播期和播量：10月15—30日播种，最佳播期10月15—20日；高肥力地块亩播量10kg，中等肥力地块12.5kg，如延期播种，以每推迟3天增加0.5kg播量为宜。（2）田间管理：一般亩施底肥尿素20kg，磷酸二铵25kg，硫酸钾20kg，拔节开始每亩追施尿素15kg；冬前分蘖盛期进行化学除草；齐穗期及时喷洒粉锈宁、抗蚜威防治白粉病和穗蚜虫。rn,
豫审麦20180046,小麦,2018,河南省,安阳市农业科学院,否,安0124/新乡9369,"半冬性品种，全生育期229～232天，平均比对照品种洛旱7号熟期略早。幼苗半匍匐，苗期叶片较长, 分蘖力较强，冬季抗寒性好。春季起身拔节早，抽穗较早。株高71.6～81.7厘米，株型较紧凑，抗倒性较好。穗层整齐，熟相好。穗纺锤形，长芒，白壳，白粒，籽粒半角质，饱满度中等。亩穗数37.2～40.3万，穗粒数33.7～35.0粒，千粒重36.9～40.7克。抗旱性鉴定：抗旱级别4级，抗旱性较弱。抗病鉴定：中感条锈病、白粉病和纹枯病，高感叶锈病和赤霉病。品质结果：2015年检测，蛋白质含量11.92%，容重814克/升，湿面筋含量24.1%，降落数值469秒，沉淀指数68毫升，吸水量60.0毫升/100克，形成时间3.5分钟，稳定时间4.0分钟，弱化度86FU，出粉率72.4%，硬度66HI；2016年检测，蛋白质含量13.83%，容重798克/升，湿面筋含量28.4%，降落数值250秒，沉淀指数55毫升，吸水量56.6毫升/100克，形成时间3.0分钟，稳定时间2.7分钟，弱化度159FU，出粉率70.1%，硬度54HI，延伸性153毫米，最大拉伸阻力153EU，拉伸面积34平方厘米。",2014～2015年度参加河南省小麦旱地组区域试验，增产点率90.9%，平均亩产436.0千克，比对照增产8.4%；2015～2016年度续试，增产点率66.7%，平均亩产405.0千克，比对照增产4.5%；2016～2017年度生产试验，增产点率88.9%，平均亩产409.6千克，比对照增产5.5%。,适宜播种期10月上中旬，每亩适宜基本苗15～20万。注意防治蚜虫、条锈病、叶锈病、白粉病、赤霉病和纹枯病等病虫害，注意控制株高。,该品种符合河南省小麦品种审定标准，通过审定。适宜河南省丘陵及旱肥地麦区种植。
豫审麦20220085,小麦,2022,河南省,安阳市农业科学院,否,安1025/郑育麦9987,半冬性品种，全生育期212.8～231.1天，平均熟期比对照品种百农207晚熟0.6天。幼苗半匍匐，叶色深绿，苗势壮，分蘖力较强。春季起身拔节早，两极分化快，抽穗早。株高80.6～84.2厘米，株型松紧适中，抗倒性较好。旗叶宽长，穗下节较长，穗层较整齐，熟相好。穗纺锤形，短芒，白壳，白粒，籽粒半角质，饱满度较好。亩穗数37.9～40.1万，穗粒数33.3～35.8粒，千粒重46.1～46.8克。抗病鉴定：中抗条锈病，中感叶锈病、白粉病和纹枯病，高感赤霉病。品质结果：2020年、2021年检测，蛋白质含量14.2%、13.8%，容重806克/升（2020年），湿面筋含量29.9%、29.9%，吸水量57.9毫升/100克、58.2毫升/100克，稳定时间5.2分钟、3.1分钟，拉伸面积62平方厘米、35平方厘米，最大拉伸阻力328EU、135EU。,2019～2020年度河南省小麦产业技术创新战略联盟新品种试验联合体冬水组区试，增产点率78.6%，平均亩产532.7公斤，比对照品种百农207增产8.1%；2020～2021年度续试，增产点率100.0%，平均亩产540.1公斤，比对照品种百农207增产9.8%；2020～2021年度生产试验，增产点率100.0%，平均亩产545.6公斤，比对照品种百农207增产5.0%。,适宜播种期10月上中旬，每亩适宜基本苗18～22万。注意防治蚜虫、赤霉病、叶锈病、白粉病和纹枯病等病虫害，预防倒春寒。,该品种符合河南省小麦品种审定标准，通过审定。适宜河南省（南部长江中下游麦区除外）高中水肥地块早中茬地种植。
豫审麦20180025,小麦,2018,河南省,安阳市农业科学院,否,矮败群体选育,"半冬性品种，全生育期231～233天，平均与对照品种周麦18熟期相当。幼苗半直立，苗期叶片窄、长，叶色深绿，苗势较壮，分蘖力较强，冬季抗寒性较好。春季起身拔节早，两极分化快，苗脚利索，抽穗晚，耐倒春寒能力一般。株高77.9～82.3厘米，株型偏松散，茎秆弹性较好，抗倒性较好。旗叶较小、上举，穗下节长，茎、穗蜡质重，穗层较整齐。根系活力较弱，熟相一般。穗长方形，小穗排列较稀，长芒，白壳，白粒，籽粒半角质，饱满度较好。亩穗数38.2～39.4万，穗粒数33.9～36.1粒，千粒重46.2～47.4克。抗病鉴定：中抗条锈病，中感叶锈病和白粉病，高感纹枯病和赤霉病。品质结果：2016年检测，蛋白质含量15.03%，容重777克/升，湿面筋含量31.5%，降落数值386秒，沉淀指数62毫升，吸水量59.2毫升/100克，形成时间4.2分钟，稳定时间4.1分钟，弱化度110FU，出粉率69.2%，硬度64HI，延伸性167毫米，最大拉伸阻力196EU，拉伸面积46平方厘米；2017年检测，蛋白质含量15.8%，容重798克/升，湿面筋含量33.0%，降落数值448秒，沉淀指数66毫升，吸水量56.6毫升/100克, 形成时间3.4分钟，稳定时间3.4分钟，弱化度109FU，出粉率70.0%，硬度65HI, 延伸性129毫米，最大拉伸阻力126EU，拉伸面积24平方厘米。","2015～2016年度参加河南省小麦冬水组区域试验，增产点率83.3%，平均亩产546.3千克，比对照增产7.5%；2016～2017年度续试，增产点率100%，平均亩产545.5千克, 比对照增产7.2%；2016～2017年度生产试验，增产点率64.3%，平均亩产536.3千克，比对照增产3.8%。",适宜播种期10月上中旬，每亩适宜基本苗12～20万。注意防治蚜虫、叶锈病、白粉病、赤霉病和纹枯病等病虫害，注意控制株高。,该品种符合河南省小麦品种审定标准，通过审定。适宜河南省（南部长江中下游麦区除外）早中茬地种植。
豫审麦20210070,小麦,2021,河南省,安阳市农业科学院,否,中育9307/周麦22,"半冬性品种，全生育期219.0～230.2天，平均熟期比对照品种周麦18早熟0.1天。幼苗半直立，叶色深绿，苗势较壮，冬季抗寒性较好，分蘖力好,成穗率中等。春季起身拔节较早，两极分化快，抽穗较晚。株高75.0～80.9厘米，株型松紧适中，抗倒性中等。旗叶大，穗下节较长，穗层较整齐，熟相好。穗纺锤形，长芒，白壳，白粒，籽粒半角质，饱满度较好。亩穗数36.6～40.5万，穗粒数32.0～33.7粒，千粒重44.1～51.9克。抗病鉴定：中抗条锈病，中感白粉病和纹枯病，高感叶锈病和赤霉病。品质结果： 2018年、2019年检测，蛋白质含量14.8%、14.6%，容重795克/升、810克/升，湿面筋含量33.2%、30.2%，吸水量58.4毫升/100克、64.3毫升/100克，稳定时间3.0分钟、3.1分钟，拉伸面积27平方厘米、33平方厘米，最大拉伸阻力122EU、159EU。",2017～2018年度河南省小麦产业技术创新战略联盟新品种试验联合体冬水组区试，14点汇总，增产点率71.4%，平均亩产431.1公斤，比对照品种周麦18增产3.6%；2018～2019年度续试，14点汇总，增产点率92.9%，平均亩产580.8公斤，比对照品种周麦18增产6.1%；2019～2020年度生产试验，14点汇总，增产点率100.0%，平均亩产511.4公斤，比对照品种周麦18增产5.3%。,适宜播种期10月上中旬，每亩适宜基本苗18～22万。注意防治蚜虫、叶锈病、赤霉病、白粉病和纹枯病等病虫害，预防倒春寒，高水肥地块种植注意防止倒伏。,该品种符合河南省小麦品种审定标准，通过审定。适宜河南省（南部长江中下游麦区除外）高中水肥地块早中茬地种植。
豫审麦20200057,小麦,2020,河南省,安阳市农业科学院,否,中育9307/周98165,半冬性品种，全生育期219.0～230.7天，平均熟期比对照品种周麦18早熟0.2天。幼苗半匍匐，叶色深绿，苗势壮，分蘖力强。春季起身拔节早，两极分化较快，抽穗早，冬季抗寒性较好，耐倒春寒能力一般。株高75.0～80.2厘米，株型半紧凑，抗倒性一般。旗叶长、上举，穗下节较长，穗层不整齐，穗长，结实性好，熟相较好。穗纺锤形，长芒，白壳，白粒，籽粒角质，饱满度较好。亩穗数36.7～42.4万，穗粒数32.2～34.6粒，千粒重42.9～48.4克。,"2016～2017年度河南省小麦产业技术创新战略联盟新品种试验联合体冬水组区试，11点汇总，增产点率81.8%，平均亩产537.0公斤，比对照品种周麦18增产3.8%；2017～2018年度续试, 14点汇总，增产点率71.4%，平均亩产429.3公斤，比对照品种周麦18增产3.2%；2018～2019年度生产试验，14点汇总，增产点率100.0%，平均亩产589.7公斤，比对照品种周麦18增产5.2%。",适宜播种期10月上中旬，每亩适宜基本苗15～18万。注意防治蚜虫、纹枯病、赤霉病、叶锈病和白粉病等病虫害，注意预防倒春寒，高水肥地块种植注意防止倒伏。,该品种符合河南省小麦品种审定标准，通过审定。适宜河南省（南部长江中下游麦区除外）早中茬地种植。
豫审麦20210071,小麦,2021,河南省,安阳市农业科学院,否,汝麦0319/郑麦7698,"半冬性品种，全生育期223.0～230.6天，平均熟期比对照品种百农207晚熟0.1天。幼苗半直立，叶色深绿，苗势较壮，冬季抗寒性一般，分蘖力好,成穗率中等。春季起身拔节较晚，两极分化较快，抽穗较晚。株高78.2～81.0厘米，株型半松散，抗倒性较好。旗叶上冲，穗下节短，穗层整齐，熟相好。穗纺锤形，长芒，白壳，白粒，籽粒半角质，饱满度较好。亩穗数39.0～41.0万，穗粒数35.9～36.3粒，千粒重42.9～44.1克。抗病鉴定：中抗条锈病，中感叶锈病、白粉病和纹枯病，高感赤霉病。品质结果：2018年、2019年检测，蛋白质含量15.4%、14.6%，容重797克/升、825克/升，湿面筋含量30.7%、30.4%，吸水量55.1毫升/100克、62.5毫升/100克，稳定时间2.9分钟、3.5分钟，拉伸面积33平方厘米、37平方厘米，最大拉伸阻力137EU、181EU。",2018～2019年度河南省小麦产业技术创新战略联盟新品种试验联合体冬水组区试，14点汇总，增产点率78.6%，平均亩产559.5公斤，比对照品种百农207增产5.3%；2019～2020年度续试，14点汇总，增产点率100.0%，平均亩产521.6公斤，比对照品种百农207增产7.4%；2019～2020年度生产试验，14点汇总，增产点率85.7%，平均亩产501.9公斤，比对照品种百农207增产4.6%。,适宜播种期10月上中旬，每亩适宜基本苗18～22万。注意防治蚜虫、赤霉病、叶锈病、白粉病和纹枯病等病虫害，预防倒春寒。,该品种符合河南省小麦品种审定标准，通过审定。适宜河南省（南部长江中下游麦区除外）高中水肥地块早中茬地种植。
豫审麦2017025,小麦,2017,河南省,河南科技学院,否,百农207系选,属半冬性早熟品种，全生育期226.2～229.8天。幼苗半匍匐，叶片宽大，叶色深绿；分蘖力较弱，成穗数偏少，抗寒性一般；株型半松散，株高72～84.4厘米，茎秆粗壮，抗倒性好；长方型穗，长芒、白壳、白粒，籽粒半角质，熟相好。产量构成三要素：平均亩穗数30.2～34.3万，穗粒数36～39.2粒，千粒重45～47.9克。2013～2015年度洛阳农林科学院抗旱性鉴定：抗旱级别4级，抗旱性较弱。2013～2014年度河南省农业科学院植物保护研究所抗病鉴定：中感条锈病、叶锈病、白粉病、纹枯病，高感赤霉病。2014 年农业部农产品质量监督检验测试中心（郑州）检测：蛋白质含量 14.68%，容重812g/L，湿面筋含量 28.2%，降落数值455S，吸水量 56.1mL/100g，形成时间 2.5min，稳定时间 2.3min，弱化度 101F.U，沉淀指数75mL， 硬度 45HI，白度 77.7%，出粉率 72.9%；2015 年检测：蛋白质含量 13.62%，容重 814g/L， 湿面筋含量 27.2%，降落数值 411S，吸水量 58.5mL/100g，形成时间 2.7min， 稳定时间 2.7min，弱化度 113F.U，沉淀指数 78mL，硬度 47HI， 白度 76.5%，出粉率 65.3%。,"2013～2014 年度河南省旱地组区域试验，11 点汇总，7 点增产，增产点率 63.6%，平均亩产 388.4 公斤，比对照洛旱 7 号增产 3.3%，差异显著；2014～2015 年度河南省旱地组区域试验，11 点汇总，9点增产，增产点率81.8%，平均亩产435.1公斤，较对照种洛旱7号增产8.1％，差异极显著。2015～2016年度河南省旱地生产试验,12点汇总，12点增产，增产点,100%，平均亩产375.9公斤，比对照品种洛旱7号增产5.6%。",（1）播期和播量：播期为10月5～20日，适宜亩播量8～15公斤，如延期播种，以每推迟3天增加0.5公斤播量为宜。（2）田间管理：精细整地，施足底肥：深耕细耙，以底肥为主，一般亩施肥量，纯氮12公斤，五氧化二磷7.5公斤，氧化钾7.5公斤；抽穗至扬花期进行“一喷三防”，重点防治赤霉病及蚜虫；注意适时收获，防止遇雨发芽。,该品种符合河南省小麦品种审定标准，通过审定。适宜河南省丘陵及旱肥地麦区种植。注意防治赤霉病。
